laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de alarmas

'Rango : 'Por tiempo:' (01-29-2025 05:47:34 ... 02-05-2025 06:47:34)
'Filtro :   usuarios = 'Todos los usuarios'  alarmas = 'Todas las alarmas'  tipos = 'Alarma entrante' 'Conf entrante.' 'Alarmas pendientes' 'Conf saliente.'

Tiempo ,Tipo de alarma,Número,Alarma
01-29-2025 11:09:18,'Conf saliente.,'173,'MEDIDA DE HUMEDAD DE PRODUCTO - por paulamh (Paula Martinez Henao)
01-29-2025 11:09:18,'Conf saliente.,'173 - 4,'MEDIDA DE HUMEDAD DE PRODUCTO - ERROR EN NÚMERO DE PRODUCTO - por paulamh (Paula Martinez Henao)
01-29-2025 11:11:02,'Alarma entrante,'84,'FILTRO DE AIRE DE ESCAPE DP NIVEL 2 (PD121440)
01-29-2025 11:11:02,'Alarma entrante,'84 - 3,'FILTRO DE AIRE DE ESCAPE DP NIVEL 2 (PD121440) - VALOR REAL> MAX
01-29-2025 11:11:51,'Conf entrante.,'84 - 3,'FILTRO DE AIRE DE ESCAPE DP NIVEL 2 (PD121440) - VALOR REAL> MAX - por paulamh (Paula Martinez Henao)
01-29-2025 11:11:51,'Conf entrante.,'84,'FILTRO DE AIRE DE ESCAPE DP NIVEL 2 (PD121440) - por paulamh (Paula Martinez Henao)
01-29-2025 11:18:22,'Alarmas pendientes,'84,'FILTRO DE AIRE DE ESCAPE DP NIVEL 2 (PD121440)
01-29-2025 11:18:22,'Alarmas pendientes,'84 - 3,'FILTRO DE AIRE DE ESCAPE DP NIVEL 2 (PD121440) - VALOR REAL> MAX
01-29-2025 11:18:26,'Conf saliente.,'84,'FILTRO DE AIRE DE ESCAPE DP NIVEL 2 (PD121440) - por paulamh (Paula Martinez Henao)
01-29-2025 11:18:26,'Conf saliente.,'84 - 3,'FILTRO DE AIRE DE ESCAPE DP NIVEL 2 (PD121440) - VALOR REAL> MAX - por paulamh (Paula Martinez Henao)
01-29-2025 11:36:30,'Alarma entrante,'154,'VÁLVULA DE DESCARGA LATERAL (K202030)
